inm series,abbreviation,lum file SMILES,inm corrected SMILES,lum file,population,,
1,Me,*C,*C,1,1996,,
2,Et,*CC,*CC,20,98,,
3,Pr,*CCC,*CCC,307,2,,
4,nPr,*CCC,*CCC,754,1,,
5,n-Pr,*CCC,*CCC,722,1,,
6,iPr,*C(C)C,*C(C)C,78,21,,
7,i-Pr,*C(C)C,*C(C)C,110,12,,
8,Bu,*CCCC,*CCCC,74,21,,
9,nBu,*CCCC,*CCCC,665,1,,
10,n-Bu,*CCCC,*CCCC,88,18,,
11,iBu,*CC(C)C,*CC(C)C,692,1,,
12,i-Bu,*CC(C)C,*CC(C)C,725,1,,
13,tBu,*C(C)(C)C,*C(C)(C)C,58,32,,
14,t-Bu,*C(C)(C)C,*C(C)(C)C,28,55,,
15,,,,,,,
16,CH3,,*C,,,,
17,C2H5,*CC,*CC,46,41,,
18,C3H7,*CCC,*CCC,65,27,,
19,nC3H7,,*CCC,,,,
20,n-C3H7,,*CCC,,,,
21,iC3H7,,*C(C)C,,,,
22,i-C3H7,,*C(C)C,,,,
23,C4H9,*CCCC,*CCCC,85,19,,
24,nC4H9,,*CCCC,,,,
25,n-C4H9,,*CCCC,,,,
26,iC4H9,,*CC(C)C,,,,
27,i-C4H9,,*CC(C)C,,,,
28,tC4H9,,*C(C)(C)C,,,,
29,t-C4H9,,*C(C)(C)C,,,,
30,,,,,,,
31,C5H11,*CCCCC,*CCCCC,33,46,,
32,C6H13,*CCCCCC,*CCCCCC,34,46,,
33,C7H15,*CCCCCCC,*CCCCCCC,103,14,,
34,C8H17,*CCCCCCCC,*CCCCCCCC,54,35,,
35,C9H19,*CCCCCCCCC,*CCCCCCCCC,212,4,,
36,C10H21,*CCCCCCCCCC,*CCCCCCCCCC,47,40,,
37,C11H23,*CCCCCCCCCCC,*CCCCCCCCCCC,271,3,,
38,C12H25,*CCCCCCCCCCCC,*CCCCCCCCCCCC,45,42,,
39,C13H27,*CCCCCCCCCCCCC,*CCCCCCCCCCCCC,120,11,,
40,C14H29,*CCCCCCCCCCCCCC,*CCCCCCCCCCCCCC,86,19,,
41,C15H31,*CCCCCCCCCCCCCCC,*CCCCCCCCCCCCCCC,51,36,,
42,C16H33,*C*,*CCCCCCCCCCCCCCCC,183,5,,
43,C17H35,*CC*,*CCCCCCCCCCCCCCCCC,125,10,,
44,C18H37,*CCC*,*CCCCCCCCCCCCCCCCCC,356,2,,
45,C19H39,*CCCC*,*CCCCCCCCCCCCCCCCCCC,649,1,,
46,C20H41,,*CCCCCCCCCCCCCCCCCCCC,,,,
47,,,,,,,
48,CH(CH3)2,*C(C)C,*C(C)C,220,4,,
49,C(CH3)3,*C(C)(C)C,*C(C)(C)C,186,5,,
50,,,,,,,
51,H3C,,*C,,,,
52,H5C2,*CC,*CC,306,2,,
53,H7C3,*CCC,*CCC,688,1,,
54,H9C4,*CCCC,*CCCC,202,5,,
55,H11C5,*CCCCC,*CCCCC,642,1,,
56,H13C6,,*CCCCCC,,,,
57,H15C7,*CCCCCCC,*CCCCCCC,610,1,,
58,H17C8,*CCCCCCCC,*CCCCCCCC,314,2,,
59,H19C9,,*CCCCCCCCC,,,,
60,H21C10,,*CCCCCCCCCC,,,,
61,H23C11,*CCCCCCCCCCC,*CCCCCCCCCCC,525,1,,
62,H25C12,*CCCCCCCCCCCC,*CCCCCCCCCCCC,282,3,,
63,H27C13,,*CCCCCCCCCCCCC,,,,
64,H29C14,,*CCCCCCCCCCCCCC,,,,
65,H31C15,*CCCCCCCCCCCCCCC,*CCCCCCCCCCCCCCC,239,3,,
66,H33C16,,*CCCCCCCCCCCCCCCC,,,,
67,H35C17,,*CCCCCCCCCCCCCCCCC,,,,
68,H37C18,**CC*,*CCCCCCCCCCCCCCCCCC,451,1,,
69,H39C19,,*CCCCCCCCCCCCCCCCCCC,,,,
70,H41C20,,*CCCCCCCCCCCCCCCCCCCC,,,,
71,,,,,,,
72,(H3C)2HC,*C(C)C,*C(C)C,402,1,,
73,(CH3)2HC,,*C(C)C,,,,
74,(H3C)3C,*CC(C)C,*C(C)(C)C,277,3,,
75,(CH3)3C,*CC(C)C,*C(C)(C)C,555,1,,
76,,,,,,,
77,CH2CH3,*CC,*CC,133,9,,
78,H3CH2C,*CC,*CC,52,36,,
79,,,,,,,
80,CD3,*C([2H])([2H])[2H],*C([2H])([2H])[2H],36,45,,
81,D3C,*C([2H])([2H])[2H],*C([2H])([2H])[2H],389,2,,
82,,,,,,,
83,Ph,*C1=CC=CC=C1,*C1=CC=CC=C1,10,385,,
84,,,,,,,
85,C6H5,*C1=CC=CC=C1,*C1=CC=CC=C1,294,2,,
86,H5C6,,*C1=CC=CC=C1,,,,
87,,,,,,,
88,Cy,*C1CCCCC1,*C1CCCCC1,267,3,cyclohexyl,
89,,,,,,,
90,Bn,*CC1=CC=CC=C1,*CC1=CC=CC=C1,30,54,benzyl,
91,,,,,,,
92,Mes,*C1=C(C)C=C(C)C=C1C,*C1=C(C)C=C(C)C=C1C,335,2,mesityl,
93,,,,,,,
94,Ad,*C12CC3C[C@H](C1)C[C@@H](C3)C2,*C13CC2CC(C1)CC(C2)C3,363,2,adamantyl,
95,,,,,,,
96,CH2F,*CF,*CF,248,3,,
97,CFH2,,*CF,,,,
98,CHF2,*C(F)F,*C(F)F,24,62,,
99,CF2H,*C(F)F,*C(F)F,41,43,,
100,CF3,*C(F)(F)F,*C(F)(F)F,2,1684,,
101,,,,,,,
102,FH2C,,*CF,,,,
103,H2FC,,*CF,,,,
104,F2HC,*C(F)F,*C(F)F,581,1,,
105,HF2C,*[H]C(F)F,*C(F)F,130,10,,
106,F3C,*C(F)(F)F,*C(F)(F)F,26,56,,
107,,,,,,,
108,OMe,*OC,*OC,5,857,,
109,OEt,*OCC,*OCC,15,154,,
110,OPr,*OCCC,*OCCC,781,1,,
111,OnPr,,*OCCC,,,,
112,On-Pr,*OCCC,*OCCC,632,1,,
113,OiPr,*OC(C)C,*OC(C)C,184,5,,
114,Oi-Pr,,*OC(C)C,,,,
115,OBu,,*OCCCC,,,,
116,OnBu,,*OCCCC,,,,
117,On-Bu,,*OCCCC,,,,
118,OiBu,*OCC(C)C,*OCC(C)C,518,1,,
119,Oi-Bu,,*OCC(C)C,,,,
120,OtBu,*OC(C)(C)C,*OC(C)(C)C,68,24,,
121,Ot-Bu,*OC(C)(C)C,*OC(C)(C)C,164,6,,
122,,,,,,,
123,MeO,*OC,*OC,32,49,,
124,EtO,*OCC,*OCC,140,8,,
125,PrO,,*OCCC,,,,
126,nPrO,,*OCCC,,,,
127,n-PrO,,*OCCC,,,,
128,iPrO,,*OC(C)C,,,,
129,i-PrO,,*OC(C)C,,,,
130,BuO,*OCCCC,*OCCCC,479,1,,
131,nBuO,,*OCCCC,,,,
132,n-BuO,,*OCCCC,,,,
133,iBuO,,*OCC(C)C,,,,
134,i-BuO,,*OCC(C)C,,,,
135,tBuO,,*OC(C)(C)C,,,,
136,t-BuO,*OC(C)(C)C,*OC(C)(C)C,623,1,,
137,,,,,,,
138,OCH3,*OC,*OC,7,442,,
139,OC2H5,*OCC,*OCC,90,17,,
140,OC3H7,*OCCC,*OCCC,296,2,,
141,OC4H9,,*OCCCC,,,,
142,,,,,,,
143,CH3O,*CO,*OC,62,27,,
144,C2H5O,*OCC,*OCC,249,3,,
145,C3H7O,,*OCCC,,,,
146,C4H9O,,*OCCCC,,,,
147,,,,,,,
148,H3CO,*CO,*OC,14,173,,
149,H5C2O,*OCC,*OCC,559,1,,
150,H7C3O,,*OCCC,,,,
151,H9C4O,,*OCCCC,,,,
152,,,,,,,
153,OCH2CH3,*OCC,*OCC,81,20,,
154,,,,,,,
155,CH3CH2O,,*OCC,,,,
156,H3CH2CO,,*OCC,,,,
157,,,,,,,
158,OCD3,*OC([2H])([2H])[2H],*OC([2H])([2H])[2H],193,5,,
159,,,,,,,
160,CD3O,,*OC([2H])([2H])[2H],,,,
161,D3CO,,*OC([2H])([2H])[2H],,,,
162,,,,,,,
163,OCH2F,*OCF,*OCF,338,2,,
164,OCFH2,,*OCF,,,,
165,OCHF2,*OC(F)F,*OC(F)F,84,19,,
166,OCF2H,*OC(F)F,*OC(F)F,187,5,,
167,OCF3,*OC(F)(F)F,*OC(F)(F)F,16,148,,
168,,,,,,,
169,FH2CO,*FC=O,*OCF,668,1,,
170,H2FCO,,*OCF,,,,
171,F2HCO,,*OC(F)F,,,,
172,HF2CO,*OC(F)F,*OC(F)F,718,1,,
173,F3CO,*OC(F)(F)F,*OC(F)(F)F,141,8,,
174,CF3O,*C#FO(F)F,*OC(F)(F)F,574,1,,
175,,,,,,,
176,OC2F5,,*OC(F)(F)C(F)(F)F,,,,
177,,,,,,,
178,C2F5O,,*OC(F)(F)C(F)(F)F,,,,
179,F5C2O,,*OC(F)(F)C(F)(F)F,,,,
180,,,,,,,
181,OPh,*OC1=CC=CC=C1,*OC1=CC=CC=C1,92,17,,
182,PhO,,*OC1=CC=CC=C1,,,,
183,,,,,,,
